best index: 1358    max cor: 9677.58
best index: 953    max cor: 4415.53
best index: 1786    max cor: 3213.13
best index: 1530    max cor: 1537.64
best index: 1706    max cor: 1387.83
best index: 1599    max cor: 2529.52
best index: 1416    max cor: 2071.76
best index: 877    max cor: 370.183
best index: 1486    max cor: 1517.92
best index: 0    max cor: 0
best index: 51    max cor: 0
best index: 102    max cor: 0
best index: 153    max cor: 0
best index: 204    max cor: 0
best index: 255    max cor: 0
best index: 306    max cor: 0
best index: 357    max cor: 0
best index: 510    max cor: 0
best index: 663    max cor: 0
best index: 765    max cor: 0
best index: 1102    max cor: 0
best index: 1888    max cor: 0
best index: 1939    max cor: 0
best index: 1990    max cor: 0
best index: 2041    max cor: 0
best index: 2092    max cor: 0
best index: 2143    max cor: 0
best index: 2296    max cor: 0
best index: 2449    max cor: 0
best index: 2551    max cor: 0
best index: 2602    max cor: 0
best index: 2653    max cor: 0
best index: 2755    max cor: 0
best index: 2806    max cor: 0
best index: 2908    max cor: 0
best index: 3061    max cor: 0
best index: 3112    max cor: 0
best index: 3163    max cor: 0
best index: 3214    max cor: 0
best index: 3316    max cor: 0
best index: 3367    max cor: 0
best index: 3418    max cor: 0
best index: 3520    max cor: 0
best index: 3571    max cor: 0
best index: 3622    max cor: 0
best index: 3724    max cor: 0
best index: 1039    max cor: 0
best index: 1650    max cor: 0
best index: 1818    max cor: 0
best index: 1573    max cor: 2218.77
best index: 184    max cor: 0
best index: 276    max cor: 0
best index: 644    max cor: 0
best index: 690    max cor: 0
best index: 1970    max cor: 0
best index: 2062    max cor: 0
best index: 2430    max cor: 0
best index: 2476    max cor: 0
best index: 2890    max cor: 0
best index: 2982    max cor: 0
best index: 3442    max cor: 0
best index: 1291    max cor: 0
best index: 468    max cor: 0
best index: 2254    max cor: 0
