right bound: 684left  bound: 675
right bound: 486left  bound: 469
right bound: 894left  bound: 892
right bound: 772left  bound: 758
right bound: 854left  bound: 853
right bound: 801left  bound: 798
right bound: 708left  bound: 708
right bound: 439left  bound: 438
right bound: 744left  bound: 742
right bound: 0left  bound: 0
right bound: 25left  bound: 26
right bound: 51left  bound: 51
right bound: 76left  bound: 77
right bound: 102left  bound: 102
right bound: 127left  bound: 128
right bound: 153left  bound: 153
right bound: 178left  bound: 179
right bound: 255left  bound: 255
right bound: 331left  bound: 332
right bound: 382left  bound: 383
right bound: 560left  bound: 542
right bound: 953left  bound: 935
right bound: 979left  bound: 958
right bound: 1004left  bound: 986
right bound: 1030left  bound: 1011
right bound: 1055left  bound: 1036
right bound: 1085left  bound: 1058
right bound: 1163left  bound: 1129
right bound: 1270left  bound: 1195
right bound: 1312left  bound: 1228
right bound: 1341left  bound: 1265
right bound: 1367left  bound: 1290
right bound: 1418left  bound: 1329
right bound: 1440left  bound: 1354
right bound: 1487left  bound: 1417
right bound: 1541left  bound: 1512
right bound: 1568left  bound: 1537
right bound: 1596left  bound: 1565
right bound: 1624left  bound: 1598
right bound: 1687left  bound: 1645
right bound: 1702left  bound: 1655
right bound: 1742left  bound: 1691
right bound: 1790left  bound: 1741
right bound: 1805left  bound: 1757
right bound: 1842left  bound: 1791
right bound: 1865left  bound: 1843
right bound: 530left  bound: 513
right bound: 829left  bound: 821
right bound: 911left  bound: 907
right bound: 791left  bound: 782
right bound: 92left  bound: 92
right bound: 138left  bound: 138
right bound: 322left  bound: 322
right bound: 345left  bound: 345
right bound: 993left  bound: 977
right bound: 1039left  bound: 1023
right bound: 1250left  bound: 1189
right bound: 1281left  bound: 1211
right bound: 1481left  bound: 1413
right bound: 1506left  bound: 1463
right bound: 1744left  bound: 1695
right bound: 649left  bound: 642
right bound: 234left  bound: 234
right bound: 1136left  bound: 1121
